player_id,name,team_id,position,birth_date,nationality
304383,T. Allende,538,Attacker,1999-02-20,Argentina
313651,Hugo Sotelo,538,Midfielder,2003-12-19,Spain
329720,Hugo Álvarez,538,Midfielder,2003-07-02,Spain
329722,Yoel Lago,538,Midfielder,2004-03-25,Spain
9823,Fabrício,539,Attacker,2000-10-08,Brazil
46659,Rober Ibáñez,539,Midfielder,1993-03-22,Spain
47225,Brugui,539,Midfielder,1996-11-04,Spain
47540,Ángel Algobia,539,Midfielder,1999-06-23,Spain
96324,M. Bouldini,539,Attacker,1995-11-27,Morocco
104949,Pablo Martínez,539,Midfielder,1998-02-22,Spain
106727,Oriol Rey,539,Midfielder,1998-02-25,Spain
119232,Dani Gómez,539,Attacker,1998-07-30,Spain
163241,Óscar Clemente,539,Midfielder,1999-03-26,Spain
182150,Sergio Lozano,539,Midfielder,1999-03-24,Spain
182669,Álex Blesa,539,Midfielder,2002-01-15,Spain
182671,Cantero,539,Midfielder,2000-06-08,Spain
182770,Carlos Álvarez,539,Midfielder,2003-08-06,Spain
192032,Iván Romero,539,Attacker,2001-04-10,Spain
360610,Hugo Redón,539,Midfielder,2003-04-19,Spain
388013,Andrés García,539,Attacker,2003-02-07,Spain
411703,Edgar Alcañiz,539,Midfielder,2005-03-18,Spain
439305,Lancinet Kourouma,539,Attacker,2004-03-30,Spain
450497,Carlos Espí,539,Attacker,2005-07-24,Spain
463279,Paco Cortés,539,Midfielder,2007-08-11,Spain
756,F. Valverde,541,Midfielder,1998-07-22,Uruguay
757,Lucas Vázquez,541,Midfielder,1991-07-01,Spain
762,Vinícius Júnior,541,Attacker,2000-07-12,Brazil
1271,A. Tchouaméni,541,Midfielder,2000-01-27,France
2273,Kepa,541,Goalkeeper,1994-10-03,Spain
10009,Rodrygo,541,Attacker,2001-01-09,Brazil
18907,Joselu,541,Attacker,1990-03-27,Spain
162547,T. Zidane,541,Midfielder,2002-05-18,France
189997,Mario de Luis,541,Goalkeeper,2002-06-05,Spain
206260,Lucas Cañizares,541,Goalkeeper,2002-05-10,Spain
237174,Álvaro Carrillo,541,Defender,2002-04-06,Spain
